0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500
0.05837750434875488,0.023167181015014648,0.04361748695373535,0.04485983848571777,0.3575917720794678,0.5803971767425538,0.032088518142700195,0.01928534507751465,0.03378958702087402,0.37259664535522463,0.35204453468322755,0.027931737899780273,0.02166752815246582,0.018504810333251954,0.03063821792602539,0.06417765617370605,0.2800933837890625,0.03327617645263672,0.03502020835876465,0.042382097244262694,0.0194760799407959,0.03062601089477539,0.02200603485107422,0.41678605079650877,0.02675180435180664,0.058879661560058597,0.0278719425201416,0.036195802688598636,0.8134861469268799,0.4183938026428223,0.02434649467468262,0.047119665145874026,0.3515485763549805,0.06501526832580566,0.4839052677154541,0.04584403038024902,0.19503965377807617,0.08118395805358887,0.10952749252319335,5.223507690429687,3.5263938903808594,4.184030532836914,4.433044481277466,3.4977399349212646,3.299263858795166,3.3518373489379885,8.437236499786376,5.3180934429168705
0.01223149022279974,0.006942380154879279,0.006543816392199029,0.008837066481610182,0.02073953947450455,0.018777216614114068,0.0014652251778279571,0.00600386045477172,0.00480129979331188,0.04082174437136955,0.020430727276799683,0.0069003938748711064,0.007834386602523427,0.007283920427025383,0.0008365040526480908,0.004029529545371006,0.006164424917528379,0.0029023743694835463,0.00575545557404025,0.006323330037217748,0.006023851202969561,0.0017729840458750533,0.007780356269401802,0.013807747072798464,0.006313470862155017,0.00770294918043466,0.002835408593123227,0.0005916295890984018,0.07013679931086456,0.008143097346775756,0.008260178431615351,0.0001664874325946462,0.03139900584779763,0.006753462115572774,0.030473340605747752,0.0035042683253118274,0.007788577021256591,0.0047714799748804085,0.001567284621506944,1.56636370183308,0.3371736655411302,0.18988968387066935,0.5202415365854735,0.24897622975178343,0.12507705887605905,0.18908471017293016,0.3300479115835896,0.28574446485914096
0.0171994686126709,0.012327194213867188,0.01878976821899414,0.011689996719360352,0.06354398727416992,0.11825251579284668,0.008758640289306641,0.004312705993652344,0.009381866455078125,0.06712822914123535,0.06256499290466308,0.0031342506408691406,0.01682124137878418,0.010328865051269532,0.015964269638061523,0.014534997940063476,0.04403214454650879,0.00848994255065918,0.011804151535034179,0.003925991058349609,0.0026086807250976563,0.016526508331298827,0.0031351089477539063,0.08277449607849122,0.012518596649169923,0.01373276710510254,0.017136812210083008,0.011530303955078125,0.03969249725341797,0.188608980178833,0.011685514450073242,0.0204770565032959,0.05650925636291504,0.018433523178100587,0.03936500549316406,0.015293359756469727,0.047598409652709964,0.016362524032592772,0.026258563995361327,0.8021953582763672,0.48575806617736816,0.6919414520263671,1.645983839035034,0.45271811485290525,0.40053763389587405,0.431797456741333,0.34784412384033203,0.34302873611450196
0.002020707793585084,0.006980757457890618,0.005645434539400451,0.005905329551968672,0.0067367244437723925,0.010158531509345573,0.00723923345511702,0.006593725526439825,0.0076602697609523115,0.006047611342265711,0.0068754354329860785,0.006268501281738281,0.0016052083058354246,0.008548902344713507,0.0006518014251046184,0.0042206476326152416,0.00640519935297652,0.007506373798569333,0.006690761211310321,0.006051482159839006,0.005217361450195312,0.0017778665806889307,0.006270217895507813,0.00578899496858739,0.006259331979389176,0.0026753389605439237,0.0022664812660935217,0.0004718269007797798,0.007845571972908713,0.0003061971337087769,0.006057739270198856,0.006205906797032783,0.008973937107019141,0.0022663567975077523,0.006983463860919407,0.00043595599639062465,0.0008374468172133535,0.0014258156362474226,0.006283278508693716,0.05601621294194691,0.04780728381683577,0.0981842075201268,0.13123777822412225,0.05060824255139092,0.05517442020594398,0.05919788241911311,0.04197225262643744,0.030103773580338458
200,100,100,100,-1,-1,200,100,200,-1,-1,100,100,100,200,200,-1,200,200,100,100,100,100,-1,100,200,100,100,-1,-1,100,200,-1,200,-1,200,200,100,200,-1,-1,-1,-1,-1,-1,-1,-1,-1
poly,poly,sigmoid,sigmoid,linear,sigmoid,linear,poly,linear,poly,poly,sigmoid,rbf,poly,poly,sigmoid,linear,poly,poly,sigmoid,linear,sigmoid,linear,sigmoid,rbf,sigmoid,rbf,sigmoid,poly,rbf,rbf,rbf,poly,sigmoid,poly,sigmoid,sigmoid,sigmoid,linear,sigmoid,linear,sigmoid,rbf,poly,linear,poly,poly,poly
scale,auto,auto,auto,auto,scale,scale,auto,auto,auto,auto,auto,auto,scale,scale,auto,auto,scale,scale,auto,auto,auto,scale,auto,auto,scale,scale,scale,scale,auto,auto,auto,scale,scale,scale,auto,auto,auto,auto,scale,auto,auto,auto,scale,auto,auto,scale,scale
0.1,2.0,1.0,1.0,1.0,0.1,2.0,0,1.0,0,1.0,0.5,1.0,1.0,0,2.0,0,1.0,2.0,1.0,1.0,2.0,2.0,0.1,2.0,0.1,0.5,0.1,2.0,0,0,0,0,2.0,0,0.5,2.0,0.5,1.0,0.1,1.0,0.1,0,0,0,1.0,2.0,0
